Content ID,Datetime,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,07/11/20 09:43,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,17/06/21 12:22,photo,Studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,18/04/21 05:13,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,06/01/21 19:13,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,23/08/20 12:25,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,07/12/20 06:27,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,11/04/21 17:35,photo,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,27/01/21 08:32,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,01/04/21 22:54,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,04/08/20 05:05,photo,Studying,positive,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,07/11/20 08:36,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,02/11/20 06:28,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,01/11/20 01:16,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,07/10/20 18:39,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,03/09/20 18:51,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,24/02/21 05:09,photo,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,23/09/20 06:24,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,24/02/21 11:37,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,22/05/21 19:44,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,31/01/21 16:03,photo,Studying,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,20/11/20 17:26,photo,Studying,neutral,35
